name,adress,phone,points in russian,points in computer science,points in mathematics,points in physics,social science,year of admission,major
Коровьев Владимир,"Орловская область, г.Болхов, ул. Ленина, д. 31",+7(916)-396-2639,46,81,55,72,55,2022,Прикладная информатика
Воронцова Аделина,"Орловская область, г.Дмитровск, ул. Ленина, д. 58",+7(916)-760-6338,43,58,98,45,75,2017,Физика
Сергеев Николай,"Брянская область, г.Дятьково, ул.Гагарина, д. 20",+7(933)-260-1877,62,67,39,87,64,2012,Математика
Николаев Сергей,"г. Брянск, ул.Новая, д. 47",+7(909)-068-8374,86,48,40,97,41,2011,Прикладная математика и информатика
Сазонова Анна,"Брянская область, г.Карачев, ул.Новая, д. 18Т",+7(960)-251-1423,94,99,53,52,45,2013,Физика
Иванов Федор,"Брянская область, г.Карачев, ул.Октябрьская, д. 50",+7(904)-868-4731,94,41,46,53,80,2015,Прикладная информатика
Мышкин Алексей,"Брянская область, г.Карачев, ул.Новая, д. 16",+7(985)-660-6827,97,64,51,59,81,2022,Прикладная математика и информатика
Чичиков Константин,"Орловская область, г.Мценск, ул.Новая, д. 43",+7(925)-548-3427,78,50,71,43,43,2011,Статистика
Розова Мария,"г. Брянск, ул.Новая, д. 58",+7(917)-230-7782,71,66,77,50,45,2021,Статистика
Зотова Лина,"Брянская область, г.Дятьково, ул.Центральная, д. 10",+7(968)-281-8929,47,90,88,76,62,2010,Прикладная математика и информатика
Салтыкова Лилия,"г.Орёлул.Центральная, д. 24",+7(904)-857-3532,99,94,73,52,62,2014,Статистика
Сергеев Николай,"Орловская область, г.Мценск, ул.Революции, д. 32",+7(900)-791-8697,82,41,91,62,62,2018,Прикладная математика и информатика
Ларина Алиса,"Брянская область, г.Карачев, ул.Центральная, д. 66",+7(988)-995-7208,43,59,61,49,59,2018,Физика
Салтыкова Дина,"г.Орёлул. Ленина, д. 24",+7(901)-178-6225,60,62,99,79,79,2019,Педагогическое образование
Розова Алиса,"Брянская область, г.Клинцы, ул. Ленина, д. 14",+7(965)-200-6496,51,84,67,74,70,2022,Педагогическое образование
Картамышев Алексей,"г. Брянск, ул.Новая, д. 51",+7(995)-970-7097,71,80,40,63,82,2021,Прикладная информатика
Петров Владислав,"Орловская область, г.Болхов, ул. Ленина, д. 43",+7(903)-976-9333,52,84,79,75,70,2015,Педагогическое образование
Сидоров Лев,"Орловская область, г.Ливны, ул.Гагарина, д. 12",+7(993)-938-4452,51,85,78,87,85,2013,Математика
Орлова Анастасия,"Брянская область, г.Дятьково, ул. Ленина, д. 63",+7(963)-532-0899,60,87,49,92,66,2019,Педагогическое образование
Панина Лилия,"Брянская область, г.Жуковка, ул.Гагарина, д. 22",+7(923)-043-8703,51,86,74,90,41,2022,Статистика
Лозовский Владислав,"Брянская область, г.Карачев, ул.Революции, д. 44",+7(961)-002-7814,65,63,71,57,85,2013,Педагогическое образование
Сазонова Анастасия,"Орловская область, г.Ливны, ул.Октябрьская, д. 17",+7(904)-857-3532,81,71,41,63,55,2015,Математика
Зотова Марина,"Брянская область, г.Жуковка, ул. Ленина, д. 40",+7(939)-633-9290,91,86,43,68,45,2021,Математика
Муравьев Николай,"Брянская область, г.Дятьково, ул.Революции, д. 64",+7(923)-043-8703,68,84,76,92,55,2021,Физика
Васильева Лилия,"Орловская область, г.Дмитровск, ул.Центральная, д. 28",+7(922)-182-4342,93,57,76,61,81,2019,Прикладная математика и информатика
Орлова Лина,"Орловская область, г.Дмитровск, ул. Ленина, д. 47",+7(969)-993-1357,61,92,76,64,67,2022,Математика
Латышев Владимир,"Орловская область, г.Болхов, ул. Ленина, д. 52",+7(903)-104-1344,56,72,98,80,42,2012,Математика
Сидоров Алексей,"Брянская область, г.Дятьково, ул. Ленина, д. 9О",+7(915)-262-1999,40,65,98,71,45,2011,Статистика
Кочергин Илья,"Брянская область, г.Жуковка, ул.Октябрьская, д. 39Е",+7(931)-040-1664,41,46,77,51,71,2016,Статистика
Салтыкова Лина,"Брянская область, г.Дятьково, ул.Новая, д. 61",+7(904)-319-6215,56,71,92,79,62,2011,Физика
Панина Арина,"Орловская область, г.Мценск, ул.Октябрьская, д. 27Н",+7(951)-286-0394,96,53,85,67,86,2015,Статистика
Чичиков Николай,"Брянская область, г.Жуковка, ул.Революции, д. 0",+7(989)-809-5490,56,75,76,45,75,2017,Статистика
Коровьев Олег,"Брянская область, г.Карачев, ул.Гагарина, д. 7",+7(951)-933-0977,97,47,48,99,83,2021,Математика
Иванов Юрий,"Брянская область, г.Клинцы, ул.Новая, д. 42",+7(917)-658-5869,95,60,67,43,66,2022,Прикладная информатика
Иванов Николай,"Брянская область, г.Карачев, ул.Гагарина, д. 8",+7(910)-992-3563,92,97,80,88,94,2014,Педагогическое образование
Коровьев Юрий,"Брянская область, г.Карачев, ул.Революции, д. 8",+7(960)-447-7663,59,43,42,85,77,2018,Педагогическое образование
Воронцова Юлия,"Орловская область, г.Дмитровск, ул.Новая, д. 2",+7(988)-668-9701,68,53,53,42,84,2014,Прикладная информатика
Воронцова Лина,"Орловская область, г.Болхов, ул.Новая, д. 57",+7(920)-970-9735,54,80,90,69,95,2017,Физика
Муравьев Сергей,"Брянская область, г.Жуковка, ул.Новая, д. 20",+7(932)-197-3367,56,47,59,79,90,2013,Прикладная математика и информатика
Мышкин Олег,"Орловская область, г.Болхов, ул.Центральная, д. 52",+7(915)-507-7722,58,87,69,52,83,2016,Математика
Салтыкова Мария,"г. Брянск, ул.Центральная, д. 49",+7(952)-607-2146,44,45,70,63,47,2017,Физика
Салтыкова Алисия,"Брянская область, г.Фокино, ул.Новая, д. 56",+7(964)-360-6703,99,86,66,76,69,2015,Статистика
Картамышев Алексей,"Брянская область, г.Карачев, ул. Ленина, д. 62",+7(984)-337-2233,48,93,43,64,50,2011,Физика
Коровьев Владимир,"Брянская область, г.Жуковка, ул.Революции, д. 14",+7(953)-903-4063,56,94,95,71,42,2013,Прикладная математика и информатика
Иванов Лев,"Брянская область, г.Жуковка, ул.Центральная, д. 68",+7(969)-684-0212,45,56,97,57,87,2022,Прикладная математика и информатика
Уварова Аделина,"Орловская область, г.Болхов, ул.Октябрьская, д. 50",+7(965)-232-8662,56,74,73,41,74,2011,Педагогическое образование
Мышкин Иван,"Брянская область, г.Клинцы, ул.Революции, д. 58",+7(964)-917-3523,88,80,82,41,57,2012,Педагогическое образование
Ларина Юлия,"Брянская область, г.Фокино, ул.Революции, д. 41Л",+7(906)-845-1444,50,83,83,58,58,2014,Прикладная информатика
Коровьев Юрий,"г. Курск, ул.Гагарина, д. 11",+7(983)-001-2248,63,95,98,75,85,2015,Физика
Николаев Роман,"Брянская область, г.Жуковка, ул.Центральная, д. 45",+7(989)-485-8281,65,48,47,59,72,2019,Прикладная математика и информатика
Рябинина Диана,"Брянская область, г.Дятьково, ул.Революции, д. 0",+7(909)-706-7774,90,95,48,64,80,2016,Прикладная информатика
Николаев Олег,"Брянская область, г.Клинцы, ул.Новая, д. 39",+7(962)-247-0865,88,69,82,51,46,2021,Физика
Розова Диана,"Брянская область, г.Клинцы, ул.Новая, д. 62",+7(936)-044-5893,57,78,53,99,57,2020,Физика
Латышев Олег,"г. Брянск, ул.Новая, д. 47",+7(905)-884-5411,94,40,88,51,88,2022,Педагогическое образование
Розова Анастасия,"Брянская область, г.Фокино, ул.Революции, д. 56",+7(936)-044-5893,76,77,61,78,69,2013,Прикладная математика и информатика
Кочергин Андрей,"Орловская область, г.Дмитровск, ул. Ленина, д. 30",+7(992)-620-6788,96,99,50,70,75,2012,Статистика
Сергеев Роман,"г.Орёлул. Ленина, д. 12",+7(931)-716-7582,53,59,77,67,93,2017,Прикладная информатика
Васильева Анастасия,"Орловская область, г.Мценск, ул. Ленина, д. 45",+7(915)-629-5736,54,88,99,56,46,2017,Физика
Ферзен Алиса,"Орловская область, г.Ливны, ул.Октябрьская, д. 2",+7(984)-204-7597,94,45,80,98,73,2020,Педагогическое образование
Ларина Аделина,"Орловская область, г.Ливны, ул.Гагарина, д. 18Ы",+7(900)-273-7208,63,59,77,50,96,2018,Прикладная математика и информатика
Сергеев Олег,"Брянская область, г.Клинцы, ул.Гагарина, д. 12Г",+7(932)-728-8228,53,58,67,62,99,2017,Математика
Уварова Диана,"Орловская область, г.Мценск, ул. Ленина, д. 41",+7(961)-002-7814,45,51,73,54,78,2015,Математика
Иванов Федор,"г. Брянск, ул.Новая, д. 24",+7(984)-026-1080,40,91,84,47,74,2016,Прикладная математика и информатика
Васильева Лина,"Орловская область, г.Мценск, ул.Революции, д. 23",+7(991)-455-1298,45,82,63,57,59,2020,Прикладная математика и информатика
Сергеев Сергей,"г. Курск, ул.Центральная, д. 66",+7(996)-639-4442,94,85,44,94,95,2012,Физика
Картамышев Алексей,"Орловская область, г.Болхов, ул.Гагарина, д. 46",+7(981)-999-8465,68,44,42,57,59,2012,Математика
Воронцова Лилия,"Орловская область, г.Дмитровск, ул.Гагарина, д. 48",+7(980)-382-7077,72,56,58,55,94,2020,Педагогическое образование
Ферзен Юлия,"Орловская область, г.Ливны, ул. Ленина, д. 62",+7(929)-708-5673,68,93,61,67,51,2017,Прикладная математика и информатика
Салтыкова Милена,"Орловская область, г.Дмитровск, ул.Октябрьская, д. 23",+7(985)-154-3895,76,87,58,72,60,2019,Статистика
Кочергин Роман,"Орловская область, г.Дмитровск, ул.Октябрьская, д. 19",+7(958)-192-9233,67,42,74,44,94,2015,Педагогическое образование
Рябинина Лилия,"г. Курск, ул.Гагарина, д. 18",+7(960)-834-0913,44,59,53,43,95,2010,Математика
Зотова Аделина,"Брянская область, г.Клинцы, ул.Революции, д. 52",+7(916)-818-6741,80,89,83,65,95,2016,Математика
Муравьев Сергей,"Брянская область, г.Жуковка, ул.Центральная, д. 63",+7(981)-764-8682,67,78,96,77,67,2010,Физика
Сергеев Константин,"Орловская область, г.Дмитровск, ул.Новая, д. 6",+7(999)-587-8829,70,71,59,57,96,2022,Прикладная информатика
Ферзен Милена,"г. Курск, ул.Новая, д. 37",+7(920)-647-5429,54,46,93,50,98,2022,Математика
Латышев Владимир,"Орловская область, г.Ливны, ул.Революции, д. 12",+7(950)-780-9778,50,54,39,74,67,2020,Физика
Николаев Лев,"Брянская область, г.Карачев, ул.Центральная, д. 38",+7(908)-872-3107,80,51,49,93,56,2022,Прикладная информатика
Платова Аделина,"Орловская область, г.Дмитровск, ул.Центральная, д. 10",+7(969)-736-4055,42,65,46,45,77,2019,Физика
Ермолаев Владимир,"Брянская область, г.Клинцы, ул. Ленина, д. 62",+7(920)-569-8593,68,71,71,61,75,2017,Педагогическое образование
Ларина Алиса,"г. Курск, ул. Ленина, д. 36",+7(915)-744-3299,47,72,49,40,39,2022,Прикладная информатика
Ермолаев Иван,"г. Брянск, ул. Ленина, д. 5",+7(977)-208-4247,55,86,58,52,66,2011,Педагогическое образование
Кочергин Федор,"Брянская область, г.Жуковка, ул.Гагарина, д. 20",+7(977)-760-4201,62,88,80,51,90,2013,Прикладная информатика
Чичиков Николай,"Брянская область, г.Фокино, ул.Гагарина, д. 5",+7(992)-868-7473,89,42,97,96,59,2019,Математика
Платова Марина,"Брянская область, г.Жуковка, ул.Новая, д. 3",+7(996)-585-6486,72,43,94,87,82,2017,Математика
Салтыкова Алисия,"Брянская область, г.Жуковка, ул.Новая, д. 61А",+7(996)-585-6486,63,44,53,93,67,2020,Статистика
Муравьев Олег,"Орловская область, г.Ливны, ул.Гагарина, д. 54",+7(951)-286-0394,59,63,89,81,75,2017,Педагогическое образование
Кочергин Николай,"г.Орёлул. Ленина, д. 18",+7(933)-409-9111,99,98,81,66,92,2021,Прикладная математика и информатика
Муравьев Юрий,"Брянская область, г.Карачев, ул.Центральная, д. 16Ш",+7(980)-056-8508,83,49,83,58,62,2022,Физика
Васильева Аделина,"г.Орёлул.Октябрьская, д. 1",+7(958)-386-4290,86,67,95,82,75,2017,Физика
Зотова Анастасия,"г. Брянск, ул.Октябрьская, д. 67",+7(994)-754-6692,41,60,68,69,43,2012,Статистика
Салтыкова Юлия,"Орловская область, г.Мценск, ул.Гагарина, д. 40Д",+7(964)-779-3843,93,75,60,45,83,2017,Прикладная математика и информатика
Салтыкова Марина,"Орловская область, г.Болхов, ул.Революции, д. 27",+7(983)-191-4162,68,82,90,43,77,2014,Статистика
Рябинина Лилия,"Брянская область, г.Клинцы, ул.Гагарина, д. 15",+7(960)-447-7663,88,81,52,51,81,2014,Статистика
Зотова Лилия,"Брянская область, г.Дятьково, ул.Гагарина, д. 32Е",+7(900)-805-3669,55,57,66,58,85,2015,Статистика
Рябинина Лилия,"Брянская область, г.Карачев, ул.Октябрьская, д. 55Э",+7(906)-883-5211,48,71,82,40,46,2011,Физика
Платова Алиса,"Брянская область, г.Клинцы, ул.Революции, д. 26",+7(996)-069-4002,49,81,76,45,65,2020,Педагогическое образование
Розова Алиса,"г.Орёлул. Ленина, д. 62",+7(983)-202-8249,51,46,78,93,66,2021,Прикладная математика и информатика
Панина Анастасия,"г.Орёлул.Новая, д. 44",+7(920)-565-0581,86,61,78,70,46,2017,Прикладная информатика
Иванов Роман,"Орловская область, г.Ливны, ул.Центральная, д. 9",+7(923)-310-7332,49,52,93,58,59,2019,Прикладная математика и информатика
Иванов Сергей,"Брянская область, г.Жуковка, ул.Гагарина, д. 4",+7(914)-127-7103,99,69,55,84,76,2016,Физика
Кочергин Андрей,"Орловская область, г.Болхов, ул.Центральная, д. 29",+7(928)-484-9043,69,66,58,44,95,2010,Математика
Ермолаев Владимир,"Орловская область, г.Болхов, ул.Центральная, д. 63",+7(992)-375-4427,78,72,81,58,42,2016,Педагогическое образование
Ларина Дина,"г. Брянск, ул.Центральная, д. 12",+7(936)-046-5337,77,71,41,60,62,2015,Физика
Ермолаев Олег,"г.Орёлул.Гагарина, д. 31",+7(958)-531-6382,39,58,57,59,80,2018,Математика
Зотова Юлия,"Брянская область, г.Карачев, ул.Октябрьская, д. 55",+7(967)-979-1209,59,48,68,46,40,2014,Математика
Зотова Диана,"Брянская область, г.Жуковка, ул.Революции, д. 1",+7(902)-766-4730,55,63,83,52,88,2022,Физика
Салтыкова Алисия,"Брянская область, г.Карачев, ул.Октябрьская, д. 0",+7(905)-099-0372,46,78,44,85,64,2020,Математика
Орлова Диана,"Брянская область, г.Дятьково, ул.Центральная, д. 63Т",+7(934)-812-3081,84,40,77,58,56,2012,Педагогическое образование
Сидоров Федор,"г. Курск, ул.Гагарина, д. 40",+7(909)-005-6298,51,70,41,83,93,2013,Физика
Платова Анастасия,"г. Курск, ул.Новая, д. 37",+7(987)-750-4286,48,46,85,89,79,2021,Статистика
Ермолаев Олег,"Орловская область, г.Мценск, ул.Центральная, д. 38",+7(937)-614-2511,90,57,54,76,50,2018,Физика
Васильева Алиса,"г. Курск, ул.Гагарина, д. 16",+7(920)-030-5035,63,60,92,58,91,2019,Прикладная информатика
Зотова Юлия,"Орловская область, г.Дмитровск, ул.Гагарина, д. 5",+7(985)-010-8669,71,44,70,69,48,2013,Математика
Муравьев Владислав,"г.Орёлул.Гагарина, д. 20",+7(923)-318-4734,60,90,89,98,75,2015,Прикладная информатика
Ферзен Диана,"Брянская область, г.Дятьково, ул.Октябрьская, д. 36",+7(900)-756-2170,66,61,74,75,53,2011,Прикладная информатика
Картамышев Сергей,"Брянская область, г.Карачев, ул. Ленина, д. 32",+7(977)-854-0276,83,50,60,85,52,2011,Прикладная информатика
Муравьев Роман,"Брянская область, г.Клинцы, ул.Гагарина, д. 29",+7(977)-641-6288,94,91,44,71,84,2020,Физика
Сазонова Арина,"Брянская область, г.Дятьково, ул.Новая, д. 53",+7(902)-871-6134,51,76,91,46,77,2014,Прикладная информатика
Латышев Сергей,"г. Брянск, ул.Центральная, д. 22",+7(906)-681-8288,49,95,61,72,56,2010,Физика
Васильева Анна,"Орловская область, г.Мценск, ул.Новая, д. 21",+7(914)-652-5132,81,43,45,57,91,2022,Математика
Коровьев Юрий,"г. Курск, ул.Центральная, д. 34",+7(930)-747-7142,93,72,99,71,43,2020,Математика
Муравьев Николай,"Орловская область, г.Дмитровск, ул.Новая, д. 9",+7(927)-623-7880,51,78,98,81,94,2014,Прикладная информатика
Лозовский Олег,"Орловская область, г.Мценск, ул.Новая, д. 28",+7(914)-302-1620,69,78,77,99,79,2012,Прикладная информатика
Зотова Диана,"Брянская область, г.Клинцы, ул.Революции, д. 3",+7(909)-042-9360,74,95,82,99,51,2020,Математика
Васильева Марина,"Брянская область, г.Дятьково, ул.Октябрьская, д. 19Й",+7(927)-294-5549,65,61,67,44,94,2019,Педагогическое образование
Коровьев Андрей,"г. Курск, ул.Октябрьская, д. 66",+7(996)-073-4058,92,95,39,80,51,2014,Прикладная информатика
Кочергин Илья,"Орловская область, г.Дмитровск, ул.Центральная, д. 44",+7(920)-548-7238,80,70,64,78,52,2020,Математика
Орлова Юлия,"Брянская область, г.Дятьково, ул.Революции, д. 67",+7(919)-368-3904,98,41,98,69,76,2020,Физика
Николаев Алексей,"Брянская область, г.Карачев, ул.Революции, д. 30",+7(989)-485-8281,77,40,72,52,57,2010,Физика
Мышкин Владислав,"Брянская область, г.Клинцы, ул.Центральная, д. 60",+7(937)-017-1816,68,90,80,54,85,2010,Физика
Ларина Арина,"Орловская область, г.Ливны, ул.Гагарина, д. 66",+7(900)-805-3669,72,63,96,46,52,2016,Математика
Сергеев Николай,"Орловская область, г.Ливны, ул. Ленина, д. 38Ъ",+7(929)-025-0001,89,43,81,55,77,2015,Статистика
Петров Лев,"Орловская область, г.Болхов, ул.Центральная, д. 13",+7(925)-314-4111,87,94,56,56,97,2019,Статистика
Латышев Иван,"Брянская область, г.Клинцы, ул.Революции, д. 38",+7(934)-835-4015,43,99,58,44,76,2018,Прикладная математика и информатика
Коровьев Андрей,"Орловская область, г.Дмитровск, ул.Центральная, д. 68",+7(985)-290-5841,66,73,58,81,60,2010,Физика
Ларина Аделина,"Орловская область, г.Мценск, ул. Ленина, д. 64",+7(906)-681-8288,60,74,78,43,50,2014,Прикладная информатика
Платова Арина,"Орловская область, г.Мценск, ул.Гагарина, д. 1",+7(910)-992-3563,88,99,88,63,69,2022,Физика
Сазонова Марина,"Брянская область, г.Карачев, ул.Новая, д. 20",+7(909)-458-0767,79,95,41,63,50,2014,Математика
Сазонова Анастасия,"г.Орёлул. Ленина, д. 8",+7(939)-900-6254,98,88,77,98,75,2010,Педагогическое образование
Уварова Алисия,"Орловская область, г.Болхов, ул.Центральная, д. 3С",+7(963)-144-8903,76,66,74,50,91,2014,Статистика
Сергеев Андрей,"Брянская область, г.Дятьково, ул.Новая, д. 2",+7(980)-313-2696,93,95,79,91,77,2014,Педагогическое образование
Уварова Анастасия,"г. Брянск, ул.Гагарина, д. 51",+7(989)-347-1791,87,87,96,98,94,2014,Физика
Муравьев Лев,"Брянская область, г.Карачев, ул. Ленина, д. 31",+7(921)-516-8831,81,92,68,53,61,2018,Статистика
Розова Марина,"Орловская область, г.Мценск, ул. Ленина, д. 52",+7(919)-143-2942,91,59,92,77,67,2011,Прикладная математика и информатика
Сидоров Олег,"Брянская область, г.Клинцы, ул.Гагарина, д. 40",+7(968)-759-7421,55,78,82,39,70,2017,Прикладная информатика
Ферзен Анна,"Орловская область, г.Ливны, ул.Гагарина, д. 29",+7(967)-619-7919,44,80,77,80,46,2015,Математика
Рябинина Аделина,"Орловская область, г.Мценск, ул.Октябрьская, д. 3",+7(991)-594-9538,88,55,87,50,96,2020,Прикладная информатика
Платова Алисия,"Орловская область, г.Мценск, ул.Революции, д. 13",+7(926)-763-7713,50,78,91,44,76,2017,Педагогическое образование
Ларина Дина,"г.Орёлул.Новая, д. 10",+7(919)-404-7148,76,79,68,40,81,2015,Математика
Васильева Анастасия,"Орловская область, г.Болхов, ул.Гагарина, д. 43",+7(904)-971-6442,54,64,47,65,96,2021,Прикладная информатика
Николаев Роман,"г.Орёлул.Новая, д. 49",+7(993)-490-3422,48,45,44,45,61,2019,Физика
Муравьев Илья,"Орловская область, г.Ливны, ул.Революции, д. 63",+7(922)-068-4172,92,92,49,80,53,2017,Педагогическое образование
Сергеев Владислав,"Брянская область, г.Жуковка, ул.Гагарина, д. 49",+7(914)-847-7191,67,78,92,55,95,2021,Прикладная математика и информатика
Ларина Арина,"Орловская область, г.Ливны, ул.Октябрьская, д. 59",+7(903)-946-8011,48,87,69,48,77,2014,Педагогическое образование
Иванов Лев,"Орловская область, г.Болхов, ул.Новая, д. 32",+7(994)-775-4392,65,69,39,45,52,2015,Педагогическое образование
Ферзен Анна,"Брянская область, г.Фокино, ул. Ленина, д. 15",+7(908)-595-4948,46,99,46,84,87,2016,Прикладная математика и информатика
Орлова Анна,"Брянская область, г.Карачев, ул.Центральная, д. 67",+7(939)-633-9290,51,94,92,76,80,2019,Прикладная математика и информатика
Лозовский Юрий,"Брянская область, г.Карачев, ул.Новая, д. 39Х",+7(909)-612-5105,97,45,64,94,66,2012,Математика
Воронцова Лилия,"г.Орёлул. Ленина, д. 64",+7(991)-607-9015,59,83,41,55,99,2018,Прикладная информатика
Панина Алиса,"Брянская область, г.Фокино, ул.Революции, д. 8",+7(962)-211-4398,54,44,80,84,63,2013,Педагогическое образование
Кочергин Юрий,"Брянская область, г.Жуковка, ул.Октябрьская, д. 26",+7(916)-138-8326,43,99,50,99,49,2013,Прикладная информатика
Лозовский Юрий,"г. Курск, ул.Октябрьская, д. 64",+7(917)-028-4009,65,85,58,92,68,2019,Математика
Чичиков Лев,"г.Орёлул.Центральная, д. 36",+7(953)-903-4063,90,95,90,66,84,2022,Прикладная информатика
Лозовский Андрей,"Орловская область, г.Болхов, ул. Ленина, д. 47",+7(961)-676-2227,52,46,63,68,47,2020,Математика
Уварова Анастасия,"Брянская область, г.Карачев, ул.Центральная, д. 27",+7(993)-888-7948,46,48,44,85,75,2015,Прикладная математика и информатика
Орлова Милена,"Орловская область, г.Дмитровск, ул.Гагарина, д. 13",+7(989)-405-9669,49,46,96,89,48,2016,Прикладная математика и информатика
Кочергин Алексей,"Орловская область, г.Болхов, ул.Революции, д. 21",+7(929)-708-5673,87,40,40,74,79,2013,Физика
Зотова Лилия,"г.Орёлул. Ленина, д. 33",+7(905)-155-1241,67,86,70,98,85,2010,Прикладная информатика
Латышев Олег,"Орловская область, г.Мценск, ул.Революции, д. 57",+7(909)-941-6328,60,58,83,52,85,2012,Физика
Кочергин Лев,"Брянская область, г.Дятьково, ул.Октябрьская, д. 49",+7(925)-894-1022,98,69,63,63,49,2012,Статистика
Коровьев Константин,"Брянская область, г.Жуковка, ул.Новая, д. 48",+7(996)-874-2646,87,86,71,65,94,2019,Математика
Кочергин Илья,"Орловская область, г.Болхов, ул.Революции, д. 39",+7(902)-626-2142,59,83,86,93,48,2013,Прикладная информатика
Салтыкова Аделина,"Орловская область, г.Дмитровск, ул.Гагарина, д. 68",+7(965)-358-3396,65,46,47,51,96,2015,Статистика
Васильева Арина,"Орловская область, г.Дмитровск, ул.Октябрьская, д. 57",+7(903)-591-9048,39,47,97,81,67,2013,Прикладная информатика
Сазонова Аделина,"Орловская область, г.Мценск, ул.Гагарина, д. 67Ы",+7(913)-311-4875,44,93,63,46,55,2016,Математика
Сазонова Дина,"Брянская область, г.Дятьково, ул.Новая, д. 45",+7(996)-036-5548,90,89,98,98,56,2016,Педагогическое образование
